Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,LCA_TaxId
"820|AF013606.1 Bacteroides uniformis RecA (recA) gene",246,0,388,73.45,73.71,99.65,135.66,2.29,245.53,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,820
"348578|AM183166.1 Uncultured Porphyromonadaceae bacterium mfd gene for putative transcription repair-coupling factor",3010,1,3162,96.08,97.47,98.57,102.6,5.1,3006.17,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unk_g,uncultured Porphyromonadaceae bacterium,348578
"622312|DQ299882.1 Roseburia inulinivorans strain A2-194 fucose utilisation protein gene, partial cds; and transcriptional regulator, L-fucose isomerase (fucI), and hypothetical protein genes",4726,1,4487,98.62,98.89,99.73,101.13,4.5,4720.56,1e-26,Bacteria,unk_k,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans,360807
"622312|DQ299883.1 Roseburia inulinivorans strain A2-194 ABC sugar transporter gene, partial cds; and fucose transport protein (fucU), hypothetical protein, and fuculose kinase (fucK) genes",2776,1,3533,96.8,97.57,99.22,102.49,3.69,2771.72,1e-26,Bacteria,unk_k,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans,360807
"622312|DQ299884.1 Roseburia inulinivorans strain A2-194 transposase gene, partial cds; and phosphohistidinol phosphatase, PduU, PduV, fucose aldolase, PduO, aldehyde dehydrogenase, alcohol dehydrogenase, PduA, PduJs, PduA, PduL, PduN, PduS, PduT, fucose operon activator, glycerol dehydratase, and glycerol dehydratase activator genes",13008,6,15478,91.74,92.5,99.18,108.11,3.91,12989.23,1e-26,Bacteria,unk_k,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans,360807
"77133|DQ904731.1 Uncultured bacterium clone 001-h9 16S ribosomal RNA gene",7728,0,1509,99.67,100.0,99.67,100.0,25.46,7726.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ793300.1 Uncultured bacterium clone RL199_aaj41h11 16S ribosomal RNA gene",2248,0,1395,69.82,69.96,99.8,142.93,8.55,2246.31,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ797208.1 Uncultured bacterium clone RL386_aao88d05 16S ribosomal RNA gene",2148,0,1398,84.33,84.41,99.92,118.47,7.65,2146.3,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ803858.1 Uncultured bacterium clone RL200_aai59c03 16S ribosomal RNA gene",956,0,1372,30.47,30.47,100.0,328.23,3.3,954.34,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ803956.1 Uncultured bacterium clone RL200_aai60d03 16S ribosomal RNA gene",1760,0,1372,49.13,49.2,99.85,203.26,6.35,1758.34,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ805663.1 Uncultured bacterium clone RL306aal89e09 16S ribosomal RNA gene",1352,0,1385,50.32,50.83,99.01,196.73,4.86,1350.32,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ805899.1 Uncultured bacterium clone RL306aal92d09 16S ribosomal RNA gene",2376,0,1399,45.18,45.53,99.22,219.62,8.64,2374.3,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ808778.1 Uncultured bacterium clone RL243_aai85b04 16S ribosomal RNA gene",6706,0,1360,98.82,98.82,100.0,101.19,22.96,6704.35,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ809539.1 Uncultured bacterium clone RL184_aah22e05 16S ribosomal RNA gene",3176,0,1392,97.7,97.7,100.0,102.35,10.75,3174.31,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ802675.1 Uncultured bacterium clone RL188_aan95a08 16S ribosomal RNA gene",1342,0,1390,75.54,75.54,100.0,132.38,4.42,1340.31,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|AB291660.1 Uncultured bacterium FTHFS gene for formyltetrahydrofolate synthetase, partial cds",662,0,1056,92.71,93.37,99.29,107.1,2.79,660.72,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|DQ380421.1 Uncultured bacterium clone rIB13 protease IV gene",670,0,687,90.54,91.41,99.04,109.39,4.73,669.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF399616.1 Uncultured bacterium clone SJTU_E_01_21 16S ribosomal RNA gene",10282,0,1491,100.0,100.0,100.0,100.0,32.34,10280.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF399740.1 Uncultured bacterium clone SJTU_E_02_79 16S ribosomal RNA gene",2738,0,1493,97.66,97.72,99.93,102.33,8.24,2736.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF399846.1 Uncultured bacterium clone SJTU_E_04_30 16S ribosomal RNA gene",956,0,1492,58.78,58.85,99.89,169.93,2.99,954.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF400272.1 Uncultured bacterium clone SJTU_E_11_06 16S ribosomal RNA gene",4342,0,1477,98.51,99.12,99.39,100.89,14.39,4340.21,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF400745.1 Uncultured bacterium clone SJTU_D_01_03 16S ribosomal RNA gene, partial sequenceEF400785.1 Uncultured bacterium clone SJTU_D_01_48 16S ribosomal RNA gene, partial sequenceEF400792.1 Uncultured bacterium clone SJTU_D_01_56 16S ribosomal RNA gene, partial sequenceEF400933.1 Uncultured bacterium clone SJTU_D_03_62 16S ribosomal RNA gene, partial sequenceEF400938.1 Uncultured bacterium clone SJTU_D_03_68 16S ribosomal RNA gene, partial sequenceEF400982.1 Uncultured bacterium clone SJTU_D_04_71 16S ribosomal RNA gene, partial sequenceEF400989.1 Uncultured bacterium clone SJTU_D_04_63 16S ribosomal RNA gene, partial sequenceEF401009.1 Uncultured bacterium clone SJTU_D_04_38 16S ribosomal RNA gene, partial sequenceEF401070.1 Uncultured bacterium clone SJTU_D_05_36 16S ribosomal RNA gene, partial sequenceEF401110.1 Uncultured bacterium clone SJTU_D_05_85 16S ribosomal RNA gene, partial sequenceEF401143.1 Uncultured bacterium clone SJTU_D_06_30 16S ribosomal RNA gene, partial sequenceEF40:1215.1 Uncultured bacterium clone SJTU_D_07_28 16S ribosomal RNA gene, partial sequenceEF401240.1 Uncultured bacterium clone SJTU_D_07_67 16S ribosomal RNA gene, partial sequenceEF401290.1 Uncultured bacterium clone SJTU_D_08_37 16S ribosomal RNA gene, partial sequenceEF401316.1 Uncultured bacterium clone SJTU_D_08_69 16S ribosomal RNA gene, partial sequenceEF401325.1 Uncultured bacterium clone SJTU_D_08_82 16S ribosomal RNA gene, partial sequenceEF401344.1 Uncultured bacterium clone SJTU_D_09_12 16S ribosomal RNA gene, partial sequenceEF401357.1 Uncultured bacterium clone SJTU_D_09_28 16S ribosomal RNA gene, partial sequenceEF401385.1 Uncultured bacterium clone SJTU_D_09_64 16S ribosomal RNA gene, partial sequenceEF401425.1 Uncultured bacterium clone SJTU_D_10_21 16S ribosomal RNA gene, partial sequenceEF401458.1 Uncultured bacterium clone SJTU_D_11_05 16S ribosomal RNA gene, partial sequenceEF401476.1 Uncultured bacterium clone SJTU_D_11_27 16S ribosomal RNA gene, partial sequenceEF401487.1 Uncu2ltured bacterium clone SJTU_D_11_39 16S ribosomal RNA gene, partial sequenceEF401503.1 Uncultured bacterium clone SJTU_D_11_58 16S ribosomal RNA gene, partial sequenceEF401639.1 Uncultured bacterium clone SJTU_D_13_26 16S ribosomal RNA gene, partial sequenceEF401687.1 Uncultured bacterium clone SJTU_D_14_51 16S ribosomal RNA gene, partial sequenceEF401688.1 Uncultured bacterium clone SJTU_D_14_50 16S ribosomal RNA gene, partial sequenceEF401791.1 Uncultured bacterium clone SJTU_D_15_05 16S ribosomal RNA gene",10052,0,1488,82.26,82.26,100.0,121.57,30.45,10050.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF400750.1 Uncultured bacterium clone SJTU_D_01_09 16S ribosomal RNA gene, partial sequenceEF401402.1 Uncultured bacterium clone SJTU_D_09_85 16S ribosomal RNA gene, partial sequenceEF401582.1 Uncultured bacterium clone SJTU_D_12_58 16S ribosomal RNA gene, partial sequenceEF401588.1 Uncultured bacterium clone SJTU_D_12_64 16S ribosomal RNA gene, partial sequenceEF401718.1 Uncultured bacterium clone SJTU_D_15_92 16S ribosomal RNA gene",3588,0,1492,99.06,99.13,99.93,100.88,11.33,3586.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF400808.1 Uncultured bacterium clone SJTU_D_01_79 16S ribosomal RNA gene, partial sequenceEF400981.1 Uncultured bacterium clone SJTU_D_04_72 16S ribosomal RNA gene, partial sequenceEF401279.1 Uncultured bacterium clone SJTU_D_08_23 16S ribosomal RNA gene, partial sequenceEF401609.1 Uncultured bacterium clone SJTU_D_12_87 16S ribosomal RNA gene",2468,0,1492,100.0,100.0,100.0,100.0,8.08,2466.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF400842.1 Uncultured bacterium clone SJTU_D_02_27 16S ribosomal RNA gene, partial sequenceEF400930.1 Uncultured bacterium clone SJTU_D_03_57 16S ribosomal RNA gene, partial sequenceEF401157.1 Uncultured bacterium clone SJTU_D_06_48 16S ribosomal RNA gene, partial sequenceEF401194.1 Uncultured bacterium clone SJTU_D_06_94 16S ribosomal RNA gene, partial sequenceEF401281.1 Uncultured bacterium clone SJTU_D_08_27 16S ribosomal RNA gene, partial sequenceEF401549.1 Uncultured bacterium clone SJTU_D_12_19 16S ribosomal RNA gene",6348,0,1493,99.46,100.0,99.46,100.0,19.81,6346.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF401166.1 Uncultured bacterium clone SJTU_D_06_57 16S ribosomal RNA gene, partial sequenceEF401294.1 Uncultured bacterium clone SJTU_D_08_42 16S ribosomal RNA gene, partial sequenceEF401451.1 Uncultured bacterium clone SJTU_D_10_78 16S ribosomal RNA gene",2382,0,1492,99.26,99.26,100.0,100.74,7.97,2380.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF402017.1 Uncultured bacterium clone SJTU_B_02_49 16S ribosomal RNA gene, partial sequenceEF402066.1 Uncultured bacterium clone SJTU_B_03_15 16S ribosomal RNA gene, partial sequenceEF402165.1 Uncultured bacterium clone SJTU_B_04_45 16S ribosomal RNA gene, partial sequenceEF402301.1 Uncultured bacterium clone SJTU_B_06_12 16S ribosomal RNA gene, partial sequenceEF402653.1 Uncultured bacterium clone SJTU_B_10_74 16S ribosomal RNA gene, partial sequenceEF402739.1 Uncultured bacterium clone SJTU_B_11_80 16S ribosomal RNA gene, partial sequenceEF403002.1 Uncultured bacterium clone SJTU_B_15_45 16S ribosomal RNA gene, partial sequenceEF403011.1 Uncultured bacterium clone SJTU_B_15_55 16S ribosomal RNA gene",832,0,1493,44.61,44.61,100.0,224.17,2.93,830.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF402119.1 Uncultured bacterium clone SJTU_B_03_86 16S ribosomal RNA gene, partial sequenceEF404003.1 Uncultured bacterium clone SJTU_C_03_42 16S ribosomal RNA gene",2604,0,1495,90.23,90.23,100.0,110.82,8.09,2602.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF402280.1 Uncultured bacterium clone SJTU_B_05_85 16S ribosomal RNA gene",6292,0,1494,99.87,100.0,99.87,100.0,21.07,6290.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF403136.1 Uncultured bacterium clone SJTU_A1_1_42 16S ribosomal RNA gene",1744,0,1494,97.79,97.79,100.0,102.26,5.64,1742.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF403261.1 Uncultured bacterium clone SJTU_A1_3_22 16S ribosomal RNA gene",3440,0,1493,80.64,80.71,99.92,123.9,11.36,3438.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF403340.1 Uncultured bacterium clone SJTU_A1_3_3 16S ribosomal RNA gene, partial sequenceEF403428.1 Uncultured bacterium clone SJTU_A2_01_05 16S ribosomal RNA gene",5504,0,1474,96.2,96.4,99.79,103.73,16.45,5502.21,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF404794.1 Uncultured bacterium clone SJTU_C_08_61 16S ribosomal RNA gene",1300,0,1491,67.87,67.94,99.9,147.19,3.8,1298.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|EF405462.1 Uncultured bacterium clone SJTU_G_10_28 16S ribosomal RNA gene",1402,0,1474,46.88,46.88,100.0,213.31,3.81,1400.21,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"33038|EF529618.1 Ruminococcus gnavus strain CCUG 49994 elongation factor Tu (tuf) gene",1204,0,840,99.76,100.0,99.76,100.0,5.89,1202.98,1e-26,Bacteria,unk_k,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus] gnavus,33038
"820|AY345595.2 Bacteroides uniformis strain WH207 transposon CTnBST",54164,40,100903,68.16,68.91,98.91,145.12,2.67,54041.78,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,820
"77133|AM277362.2 Uncultured bacterium partial 16S rRNA gene",11412,0,1475,99.12,99.12,100.0,100.89,37.77,11410.21,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|AM277047.2 Uncultured bacterium partial 16S rRNA gene",1198,0,1483,83.28,83.75,99.44,119.4,3.68,1196.2,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"77133|AM275463.2 Uncultured bacterium partial 16S rRNA gene",1350,0,1482,94.94,94.94,100.0,105.33,4.31,1348.2,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
"435590|CP000139.1 Bacteroides vulgatus ATCC 8482",2919696,1998,5163189,44.67,44.94,99.41,222.52,2.7,2913705.94,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus,821
"28117|AY652738.1 Alistipes putredinis RNA polymerase beta subunit (rpoB) gene",5770,0,2244,97.91,98.04,99.86,102.0,14.47,5767.28,1e-26,Bacteria,unk_k,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,28117
77133|EU058000.1 Uncultured bacterium clone LM0ABA1ZA10FM1 genomic sequence,770,0,776,75.52,75.9,99.49,131.75,4.65,769.06,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058007.1 Uncultured bacterium clone LM0ABA1ZB10FM1 genomic sequence,6494,0,768,99.61,99.87,99.74,100.13,37.21,6493.07,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058010.1 Uncultured bacterium clone LM0ABA1ZC04FM1 genomic sequence,676,0,698,74.79,74.79,100.0,133.72,3.85,675.15,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058019.1 Uncultured bacterium clone LM0ABA1ZD03FM1 genomic sequence,470,0,702,62.96,64.67,97.36,154.63,3.33,469.15,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU058030.1 Uncultured bacterium clone LM0ABA1ZE08FM1 genomic sequence,376,0,688,70.35,73.26,96.03,136.51,2.33,375.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,,2
77133|EU058031.1 Uncultured bacterium clone LM0ABA1ZE09FM1 genomic sequence,632,0,471,100.0,100.0,100.0,100.0,7.27,631.43,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058036.1 Uncultured bacterium clone LM0ABA1ZF04FM1 genomic sequence,1604,0,620,99.35,100.0,99.35,100.0,10.96,1603.25,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058037.1 Uncultured bacterium clone LM0ABA1ZF05FM1 genomic sequence,754,0,639,92.49,92.64,99.83,107.94,5.96,753.23,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058044.1 Uncultured bacterium clone LM0ABA1ZG02FM1 genomic sequence,1646,0,684,98.68,100.0,98.68,100.0,12.25,1645.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058073.1 Uncultured bacterium clone LM0ABA2ZC03FM1 genomic sequence,5526,0,809,98.02,100.0,98.02,100.0,34.04,5525.02,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU058078.1 Uncultured bacterium clone LM0ABA2ZC09FM1 genomic sequence,920,0,761,74.11,74.24,99.82,134.69,5.87,919.08,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058079.1 Uncultured bacterium clone LM0ABA2ZC10FM1 genomic sequence,1268,0,749,98.53,100.0,98.53,100.0,8.59,1267.09,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058081.1 Uncultured bacterium clone LM0ABA2ZC12FM1 genomic sequence,1290,0,631,99.84,100.0,99.84,100.0,9.63,1289.23,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058085.1 Uncultured bacterium clone LM0ABA2ZD04FM1 genomic sequence,3972,0,760,97.89,100.0,97.89,100.0,27.85,3971.08,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU058094.1 Uncultured bacterium clone LM0ABA2ZE04FM1 genomic sequence,1212,0,496,100.0,100.0,100.0,100.0,11.38,1211.4,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058098.1 Uncultured bacterium clone LM0ABA2ZE09FM1 genomic sequence,458,0,738,79.27,79.54,99.66,125.72,3.04,457.11,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058104.1 Uncultured bacterium clone LM0ABA2ZF09FM1 genomic sequence,2898,0,509,96.07,100.0,96.07,100.0,31.06,2897.38,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,,2
77133|EU058106.1 Uncultured bacterium clone LM0ABA2ZF11FM1 genomic sequence,2240,0,751,99.2,100.13,99.07,99.87,11.85,2239.09,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058107.1 Uncultured bacterium clone LM0ABA2ZF12FM1 genomic sequence,1924,0,824,99.88,100.0,99.88,100.0,11.3,1923.0,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058113.1 Uncultured bacterium clone LM0ABA2ZG07FM1 genomic sequence,1752,0,720,99.72,100.0,99.72,100.0,10.93,1751.13,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058116.1 Uncultured bacterium clone LM0ABA2ZH03FM1 genomic sequence,1856,0,663,91.1,94.42,96.49,105.91,16.22,1855.2,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,,2
77133|EU058126.1 Uncultured bacterium clone LM0ABA27ZA04FM1 genomic sequence,788,0,725,96.69,96.97,99.72,103.13,5.71,787.12,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058127.1 Uncultured bacterium clone LM0ABA27ZA05FM1 genomic sequence,1770,0,684,99.12,100.0,99.12,100.0,11.91,1769.17,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058137.1 Uncultured bacterium clone LM0ABA27ZB05FM1 genomic sequence,1082,0,743,97.85,98.12,99.73,101.92,6.94,1081.1,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058138.1 Uncultured bacterium clone LM0ABA27ZB06FM1 genomic sequence,932,0,678,84.66,84.66,100.0,118.12,7.38,931.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058140.1 Uncultured bacterium clone LM0ABA27ZB09FM1 genomic sequence,1320,0,812,99.26,100.0,99.26,100.0,9.42,1319.02,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058142.1 Uncultured bacterium clone LM0ABA27ZB11FM1 genomic sequence,386,0,719,90.68,91.52,99.09,109.27,3.06,385.13,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058146.1 Uncultured bacterium clone LM0ABA27ZC03FM1 genomic sequence,442,0,797,73.27,74.28,98.65,134.63,2.92,441.03,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058149.1 Uncultured bacterium clone LM0ABA27ZC09FM1 genomic sequence,1018,0,811,96.79,97.41,99.37,102.66,5.85,1017.02,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058165.1 Uncultured bacterium clone LM0ABA27ZF02FM1 genomic sequence,626,0,760,81.32,81.58,99.68,122.58,3.52,625.08,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058174.1 Uncultured bacterium clone LM0ABA27ZG02FM1 genomic sequence,400,0,671,73.92,74.66,99.0,133.93,2.74,399.19,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058177.1 Uncultured bacterium clone LM0ABA27ZG06FM1 genomic sequence,794,0,672,95.98,96.28,99.69,103.86,5.99,793.18,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
77133|EU058193.1 Uncultured bacterium clone LM0ABA28ZB07FM1 genomic sequence,1648,0,803,99.38,100.12,99.25,99.88,11.44,1647.03,1e-26,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium,77133
